uuid,register_number,log_number,card_number,subcollectie,serie_name,preference,description,entry_number,catalog_card,catalog_card_scan,location,person,date,code,log_page_id,object_number,file_uuid,file_name,dam_path
842e1b7f-0310-7f0f-a42b-c3a7253b2265,NL-HlmNHA_1478_28641K00,NL-HlmNHA_1478_28641K,00,K,"Kleinbeeld 1988",1988,"Huwelijk Corrie van Diemen Hoofddorp",130732|130733,"Haarlems Dagblad e.d. en IJmuider Courant en Koeri|Huwelijk",NHA012000008_H_0059|NHA012000008_H_0652,Hoofddorp,"Diemen, Corrie van",28-01-1988,NL-HlmNHA_1478_28641K,,NL-HlmNHA_1478_28641K00_27,750d63d8-6685-5a6e-2abb-b99b7f5f927a,NL-HlmNHA_1478_28641K00_27,"/VeleHanden Fotopersbureau De Boer/Batch_06/NL-HlmNHA_1478_28641K00/"
fd53f51e-d17d-c467-3db8-891b5ab8b92e,NL-HlmNHA_1478_14524K00,NL-HlmNHA_1478_14524K,00,K,"Kleinbeeld 1976",1976,"Renovatie woningen, Zomerkade, H'lem",66071|66072,"Huizen en huizenbouw|Renovatie",NHA012000008_H_0549|NHA012000017_R_0189,"Haarlem, Zomerkade",,14-04-1976,NL-HlmNHA_1478_14524K,,NL-HlmNHA_1478_14524K00_30,9e4da533-d476-6c4f-8d19-45eed3593fd4,NL-HlmNHA_1478_14524K00_30,"/VeleHanden Fotopersbureau De Boer/Batch_03/NL-HlmNHA_1478_14524K00/"
05a857f6-3aa0-8c06-7e13-69aa6b0b0986,NL-HlmNHA_1478_08051K00,NL-HlmNHA_1478_08051K,00,K,"Kleinbeeld 1970",1970,"Feyenoord - Vorwärts Berlin",44339,"Voetbal Feijenoord",NHA012000021_V_0697,,,18-03-1970,NL-HlmNHA_1478_08051K,,NL-HlmNHA_1478_08051K00_31,c2b8e6e0-799c-9eec-605a-a757ada62aab,NL-HlmNHA_1478_08051K00_31,"/VeleHanden Fotopersbureau De Boer/Batch 2/NL-HlmNHA_1478_08051K00/"
f323989f-4def-21bd-0511-6651592aa415,NL-HlmNHA_1478_24586K00,NL-HlmNHA_1478_24586K,00,K,"Kleinbeeld 1984",1984,"Beeldhouwster Prinsen bij beeld Ripperda",110163|110164,Militairen|Onthullingen,NHA012000013_M_0133|NHA012000015_O_0083,,,29-10-1984,NL-HlmNHA_1478_24586K,,NL-HlmNHA_1478_24586K00_33,50b742cd-d7f3-bdff-239c-6770d34261e3,NL-HlmNHA_1478_24586K00_33,"/VeleHanden Fotopersbureau De Boer/Batch_05/NL-HlmNHA_1478_24586K00/"
59350176-49b3-3a98-17e6-1944784c4d83,NL-HlmNHA_1478_15980K00,NL-HlmNHA_1478_15980K,00,K,"Kleinbeeld 1977",1977,"Opening Ds. M.G. Blauwschool Abel Tasmankade",73193|73194,"Opening, openingen, in gebruik name|Scholen",NHA012000015_O_0185|NHA012000018_S_0585,,,21-09-1977,NL-HlmNHA_1478_15980K,,NL-HlmNHA_1478_15980K00_14,ee42c1fc-4466-30b3-7813-9ff8c0fcd5d3,NL-HlmNHA_1478_15980K00_14,"/VeleHanden Fotopersbureau De Boer/Batch_03/NL-HlmNHA_1478_15980K00/"
47eef2e9-279c-2e81-ffe5-f7d6d7059c7b,NL-HlmNHA_1478_15980K00,NL-HlmNHA_1478_15980K,00,K,"Kleinbeeld 1977",1977,"Onderscheidingen Rode Kruis Ziekenhuis",73190|73191,"Onderscheidingen|Rode Kruis, Rode Kruis ziekenhuis",NHA012000015_O_0038|NHA012000017_R_0050,,,21-09-1977,NL-HlmNHA_1478_15980K,,NL-HlmNHA_1478_15980K00_26,4b95fa4e-4222-6d14-107c-06277b57397e,NL-HlmNHA_1478_15980K00_26,"/VeleHanden Fotopersbureau De Boer/Batch_03/NL-HlmNHA_1478_15980K00/"
74ab9f37-34b1-65fa-bd43-10d0fcd74c1b,NL-HlmNHA_1478_26462K00,NL-HlmNHA_1478_26462K,00,K,"Kleinbeeld 1986",1986,"Peter Stevenhagen en collega Jonker wielrenners Tour de France",119896,Wielrennen,NHA012000022_W_0230,,"Stevenhagen, Peter",25-06-1986,NL-HlmNHA_1478_26462K,,NL-HlmNHA_1478_26462K00_13,b8099386-3088-fbc8-65bf-a20a94557399,NL-HlmNHA_1478_26462K00_13,"/VeleHanden Fotopersbureau De Boer/Batch_05/NL-HlmNHA_1478_26462K00/"
b11dc995-1edc-c4cd-a7cc-9c544313ab52,NL-HlmNHA_1478_26462K00,NL-HlmNHA_1478_26462K,00,K,"Kleinbeeld 1986",1986,"Beschadigde loods fa. van Deursen",119885,"Loodswezen, loodsen",NHA012000012_L_0082,,,25-06-1986,NL-HlmNHA_1478_26462K,,NL-HlmNHA_1478_26462K00_22,d4d66ead-68a8-4b43-06dd-8143b11cbe9d,NL-HlmNHA_1478_26462K00_22,"/VeleHanden Fotopersbureau De Boer/Batch_05/NL-HlmNHA_1478_26462K00/"
01c22148-7a48-d2fc-d115-5db7fc72416c,NL-HlmNHA_1478_03247K00,NL-HlmNHA_1478_03247K,00,K,"Kleinbeeld 1965",1965,"Stadsschouwburg Velsen",31128,Gebouwen,NHA012000007_G_0270,,,22-07-1965,NL-HlmNHA_1478_03247K,,NL-HlmNHA_1478_03247K00_08,5f13f481-d0c0-dbac-49d1-61642e4b9581,NL-HlmNHA_1478_03247K00_08,"/VeleHanden Fotopersbureau De Boer/Batch_01/NL-HlmNHA_1478_03247K00/"
17a3e6c5-8acb-5560-dccc-37e9ff7c9de6,NL-HlmNHA_1478_00652K00,NL-HlmNHA_1478_00652K,00,K,"Kleinbeeld 1963",1963,"Peer Krom, oud voetballer",24276,Personen,NHA012000016_P_0369,,"Krom, Peer",02-03-1963,NL-HlmNHA_1478_00652K,,NL-HlmNHA_1478_00652K00_10,ce9631f9-9b49-b5a0-8b74-5a460c3b204b,NL-HlmNHA_1478_00652K00_10,"/VeleHanden Fotopersbureau De Boer/Batch_01/NL-HlmNHA_1478_00652K00/"
1d536f66-d502-85b5-0582-ff9c02dd4973,NL-HlmNHA_1478_21142K02,NL-HlmNHA_1478_21142K,02,K,"Kleinbeeld 1981",1981,"Italië - Nederland",93367,Softbal,NHA012000018_S_0153,,,16-09-1981,NL-HlmNHA_1478_21142K,,NL-HlmNHA_1478_21142K02_04,1d64831a-52f0-32e9-819c-f8c92ac4c027,NL-HlmNHA_1478_21142K02_04,"/VeleHanden Fotopersbureau De Boer/Batch_04/NL-HlmNHA_1478_21142K02/"
b517f2ba-82dd-4be3-ced5-eba99a37872c,NL-HlmNHA_1478_25810K00,NL-HlmNHA_1478_25810K,00,K,"Kleinbeeld 1985",1985,"Joop Herinx, speler",116820,"Voetbal Telstar",NHA012000021_V_0844,,"Herinx, Joop",12-12-1985,NL-HlmNHA_1478_25810K,,NL-HlmNHA_1478_25810K00_18,523083f5-fdc7-5d9e-c258-85238be25e53,NL-HlmNHA_1478_25810K00_18,"/VeleHanden Fotopersbureau De Boer/Batch_05/NL-HlmNHA_1478_25810K00/"
768d83c7-b238-cc43-2c7d-bfee9ff13229,NL-HlmNHA_1478_14295K00,NL-HlmNHA_1478_14295K,00,K,"Kleinbeeld 1975",1975,"Zwemclub DWR zwemt in Zee Zandvoort",64776,Nieuwjaar,NHA012000014_N_0055,,,01-01-1976,NL-HlmNHA_1478_14295K,,NL-HlmNHA_1478_14295K00_29,a63da197-bc64-5291-a535-2bf84d26e0cd,NL-HlmNHA_1478_14295K00_29,"/VeleHanden Fotopersbureau De Boer/Batch_03/NL-HlmNHA_1478_14295K00/"
09525af3-4e1f-f5f7-0c5f-11db33119bd4,NL-HlmNHA_1478_25419K00,NL-HlmNHA_1478_25419K,00,K,"Kleinbeeld 1985",1985,"Schilderij Martha",115071,"Schilderijen, schilderen, schilders",NHA012000018_S_0475,,,15-08-1985,NL-HlmNHA_1478_25419K,,NL-HlmNHA_1478_25419K00_16,ef67da8b-b5c0-633a-7cd8-15259c2b1bcb,NL-HlmNHA_1478_25419K00_16,"/VeleHanden Fotopersbureau De Boer/Batch_05/NL-HlmNHA_1478_25419K00/"
91ab38ad-d750-8cfa-15cf-b0f3a8679a48,NL-HlmNHA_1478_17204K00,NL-HlmNHA_1478_17204K,00,K,"Kleinbeeld 1978",1978,"Presentatie Jazz boek in BIM huis Amsterdam",78047,Spectrum,NHA012000018_S_0189,,,30-09-1978,NL-HlmNHA_1478_17204K,,NL-HlmNHA_1478_17204K00_21,ab8620f0-0fb9-4e14-df9f-5d19204fe524,NL-HlmNHA_1478_17204K00_21,"/VeleHanden Fotopersbureau De Boer/Batch_03/NL-HlmNHA_1478_17204K00/"
e9d5dcd7-f1b8-598f-9883-f1133adc3faf,NL-HlmNHA_1478_18694K01,NL-HlmNHA_1478_18694K,01,K,"Kleinbeeld 1979",1979,"Leden Peter ten Have jazzband",83381,Jazz,NHA012000010_J_0013,,"Have, Peter ten",25-11-1979,NL-HlmNHA_1478_18694K,,NL-HlmNHA_1478_18694K01_11,e34ed72f-2cfd-ce3f-0b7c-e47826a36515,NL-HlmNHA_1478_18694K01_11,"/VeleHanden Fotopersbureau De Boer/Batch_04/NL-HlmNHA_1478_18694K01/"
ea79b44d-d7cb-a71f-e813-7a545eb0767a,NL-HlmNHA_1478_21850K01,NL-HlmNHA_1478_21850K,01,K,"Kleinbeeld 1982",1982,"Touwtrekken, H'stede",96695,Koninginnedag,NHA012000011_K_0310,Heemstede,,30-04-1982,NL-HlmNHA_1478_21850K,,NL-HlmNHA_1478_21850K01_32,14b621f2-655a-92de-0ccd-47f48464d381,NL-HlmNHA_1478_21850K01_32,"/VeleHanden Fotopersbureau De Boer/Batch_04/NL-HlmNHA_1478_21850K01/"
a9bd48fd-ff10-8afc-2a74-dc065ead0d6e,NL-HlmNHA_1478_23890K00,NL-HlmNHA_1478_23890K,00,K,"Kleinbeeld 1984",1984,"Reportage Aadorp",105911|105912,"Dorpen en steden|Reportage",NHA012000004_D_0211|NHA012000017_R_0199,Aadorp,,27-02-1984,NL-HlmNHA_1478_23890K,,NL-HlmNHA_1478_23890K00_22,a63c28ed-7411-e0b9-8da0-14a789bab6ff,NL-HlmNHA_1478_23890K00_22,"/VeleHanden Fotopersbureau De Boer/Batch_05/NL-HlmNHA_1478_23890K00/"
18ce5b40-0079-1c59-a9ce-705c94967836,NL-HlmNHA_1478_21577K00,NL-HlmNHA_1478_21577K,00,K,"Kleinbeeld 1982",1982,"Ext. Anthonieschool, Aerdenhout [Antoniusschool]",95562|95561,Exterieur|Scholen,NHA012000005_E_0195|NHA012000018_S_0563,Aerdenhout,,08-02-1982,NL-HlmNHA_1478_21577K,,NL-HlmNHA_1478_21577K00_09,9fc5bef9-28fa-d517-1fbc-a8d79d0a4cce,NL-HlmNHA_1478_21577K00_09,"/VeleHanden Fotopersbureau De Boer/Batch_04/NL-HlmNHA_1478_21577K00/"
a492c568-a331-e900-4a45-6cd88c43e1d4,NL-HlmNHA_1478_21775K00,NL-HlmNHA_1478_21775K,00,K,"Kleinbeeld 1982",1982,"Punkers in Haarlem",96448,Punk,NHA012000016_P_0867,Haarlem,,08-04-1982,NL-HlmNHA_1478_21775K,,NL-HlmNHA_1478_21775K00_15,9bbe5e74-cb64-34f7-89d4-3225d51f345d,NL-HlmNHA_1478_21775K00_15,"/VeleHanden Fotopersbureau De Boer/Batch_04/NL-HlmNHA_1478_21775K00/"
0abf8227-e62b-08d4-f3a6-55cc558fda4a,NL-HlmNHA_1478_12262K00,NL-HlmNHA_1478_12262K,00,K,"Kleinbeeld 1973",1973,"Portret Mevr. ...... Amsterdam",55457,Portretten,NHA012000016_P_0682,,,18-09-1973,NL-HlmNHA_1478_12262K,,NL-HlmNHA_1478_12262K00_32,604dc061-05a7-5e2c-7eff-aeddb993a20b,NL-HlmNHA_1478_12262K00_32,"/VeleHanden Fotopersbureau De Boer/Batch 2/NL-HlmNHA_1478_12262K00/"
5eea46dc-b198-076f-657f-8223070518d4,NL-HlmNHA_1478_17969K00,NL-HlmNHA_1478_17969K,00,K,"Kleinbeeld 1979",1979,"Vergadering over protest tegen afbraak Laurentiuskerk IJmuiden",80658,Vergaderingen,NHA012000021_V_0079,IJmuiden,,14-05-1979,NL-HlmNHA_1478_17969K,,NL-HlmNHA_1478_17969K00_33,d9b846c8-ed5f-a603-1762-7eab644e199d,NL-HlmNHA_1478_17969K00_33,"/VeleHanden Fotopersbureau De Boer/Batch_03/NL-HlmNHA_1478_17969K00/"
ec4d13e8-2876-fe78-0d82-2a56f1485c1d,NL-HlmNHA_1478_24687K00,NL-HlmNHA_1478_24687K,00,K,"Kleinbeeld 1984",1984,"Opening flats Lange Margarethastraat",110779|110780,"Flats|Opening, openingen, in gebruik name",NHA012000006_F_0113|NHA012000015_O_0161,"Haarlem, Lange Margarethastraat",,29-11-1984,NL-HlmNHA_1478_24687K,,NL-HlmNHA_1478_24687K00_15,1f100067-45fd-dd52-717a-6fa0c125cece,NL-HlmNHA_1478_24687K00_15,"/VeleHanden Fotopersbureau De Boer/Batch_05/NL-HlmNHA_1478_24687K00/"
779b864c-fcee-8dca-254f-2766ea270eda,NL-HlmNHA_1478_08061K00,NL-HlmNHA_1478_08061K,00,K,"Kleinbeeld 1970",1970,"Portret Dr. Wierda",44376,Portretten,NHA012000016_P_0697,,,20-03-1970,NL-HlmNHA_1478_08061K,,NL-HlmNHA_1478_08061K00_12,e732bbbe-3b1e-26fe-b4a3-3340cc8b20ac,NL-HlmNHA_1478_08061K00_12,"/VeleHanden Fotopersbureau De Boer/Batch 2/NL-HlmNHA_1478_08061K00/"
4297885e-b974-f0c9-220d-160a7e8df338,NL-HlmNHA_1478_15978K00,NL-HlmNHA_1478_15978K,00,K,"Kleinbeeld 1977",1977,"Vergadering bij Hoogovens",73200|73201,Hoogovens|Vergaderingen,NHA012000008_H_0445|NHA012000021_V_0084,,,21-09-1977,NL-HlmNHA_1478_15978K,,NL-HlmNHA_1478_15978K00_25,99de3930-36dc-30f7-6649-9d5cc89e0c27,NL-HlmNHA_1478_15978K00_25,"/VeleHanden Fotopersbureau De Boer/Batch_03/NL-HlmNHA_1478_15978K00/"
6d352a93-ae36-3876-3751-f57281d8dcf9,NL-HlmNHA_1478_15978K00,NL-HlmNHA_1478_15978K,00,K,"Kleinbeeld 1977",1977,"Bloemen uitdelen, Rode Kruis Ziekenhuis",73185,"Rode Kruis, Rode Kruis ziekenhuis",NHA012000017_R_0050,,,21-09-1977,NL-HlmNHA_1478_15978K,,NL-HlmNHA_1478_15978K00_37,31df10c1-a2d6-c902-98ed-d79455882d6f,NL-HlmNHA_1478_15978K00_37,"/VeleHanden Fotopersbureau De Boer/Batch_03/NL-HlmNHA_1478_15978K00/"
06660be5-1ace-3d70-602b-625719502a82,NL-HlmNHA_1478_15978K00,NL-HlmNHA_1478_15978K,00,K,"Kleinbeeld 1977",1977,"Ext. politiebureau B'wijk",73186,Politie,NHA012000016_P_0562,,,21-09-1977,NL-HlmNHA_1478_15978K,,NL-HlmNHA_1478_15978K00_42,abbd051a-8ef7-b189-19f2-1446c3601d2a,NL-HlmNHA_1478_15978K00_42,"/VeleHanden Fotopersbureau De Boer/Batch_03/NL-HlmNHA_1478_15978K00/"
a302e7f4-b202-3abe-bdb7-05a242e10d94,NL-HlmNHA_1478_24870K00,NL-HlmNHA_1478_24870K,00,K,"Kleinbeeld 1985",1985,"Installatie van 6-jarigen scouting Velsen",111914,Installatie,NHA012000009_I_0018,Velsen,,08-02-1985,NL-HlmNHA_1478_24870K,,NL-HlmNHA_1478_24870K00_22,c5ed2145-4cfb-b043-1087-d73a1b64c962,NL-HlmNHA_1478_24870K00_22,"/VeleHanden Fotopersbureau De Boer/Batch_05/NL-HlmNHA_1478_24870K00/"
6749e959-5825-6e98-b38a-b810876f62d1,NL-HlmNHA_1478_26118K00,NL-HlmNHA_1478_26118K,00,K,"Kleinbeeld 1986",1986,"Verkiezingsuitslag Haarlem",118250|118251,Verkiezingen,NHA012000021_V_0154,Haarlem,,19-03-1986,NL-HlmNHA_1478_26118K,,NL-HlmNHA_1478_26118K00_01,b65cbec1-f42e-d799-c18d-201e319ba5b0,NL-HlmNHA_1478_26118K00_01,"/VeleHanden Fotopersbureau De Boer/Batch_05/NL-HlmNHA_1478_26118K00/"
22634132-8d7c-7888-4cc1-ebd9e7ed5803,NL-HlmNHA_1478_29050K00,NL-HlmNHA_1478_29050K,00,K,"Kleinbeeld 1988",1988,"Portret Tom Wolthuis",132774,Personen,NHA012000016_P_0143,,,04-05-1988,NL-HlmNHA_1478_29050K,,NL-HlmNHA_1478_29050K00_19,08dbaaa4-598c-1de7-e6a9-5f0e192c4b80,NL-HlmNHA_1478_29050K00_19,"/VeleHanden Fotopersbureau De Boer/Batch_06/NL-HlmNHA_1478_29050K00/"
083c76bb-1d9c-e68c-e358-ad9b45a08ecd,NL-HlmNHA_1478_12615K01,NL-HlmNHA_1478_12615K,01,K,"Kleinbeeld 1974",1974,"3 vertegenwoordigers op de fiets",56486,Personen,NHA012000016_P_0223,,,14-01-1974,NL-HlmNHA_1478_12615K,,NL-HlmNHA_1478_12615K01_31,85ea8648-c14a-ce43-4339-dc6f2f810015,NL-HlmNHA_1478_12615K01_31,"/VeleHanden Fotopersbureau De Boer/Batch_03/NL-HlmNHA_1478_12615K01/"
408d75f2-2063-4953-9ad6-3d28e46b2253,NL-HlmNHA_1478_24860K00,NL-HlmNHA_1478_24860K,00,K,"Kleinbeeld 1985",1985,"Vladimir van Belen voor huis in Aerdenhout",111855,Personen,NHA012000016_P_0303,Aerdenhout,"Belen, Vladimir van",04-02-1985,NL-HlmNHA_1478_24860K,,NL-HlmNHA_1478_24860K00_35,54b121c9-5963-4220-9881-690d5b322905,NL-HlmNHA_1478_24860K00_35,"/VeleHanden Fotopersbureau De Boer/Batch_05/NL-HlmNHA_1478_24860K00/"
40a4c842-ba1b-9282-123d-822807060e9f,NL-HlmNHA_1478_10395K01,NL-HlmNHA_1478_10395K,01,K,"Kleinbeeld 1972",1972,"Toneelstuk Nieuw Leven",51410,Toneel,NHA012000019_T_0262,,,19-02-1972,NL-HlmNHA_1478_10395K,,NL-HlmNHA_1478_10395K01_28,36695d44-a2e7-74e5-953b-2dd426e9d81e,NL-HlmNHA_1478_10395K01_28,"/VeleHanden Fotopersbureau De Boer/Batch 2/NL-HlmNHA_1478_10395K01/"
38ac5d3e-7fa6-2ed1-b69a-d000db385a73,NL-HlmNHA_1478_28679K00,NL-HlmNHA_1478_28679K,00,K,"Kleinbeeld 1988",1988,"Kunstenares Bergit Laken van o.a. sieraden",130907|130908,"Kunst en kunstvoorwerpen|Sieraden",NHA012000011_K_0407|NHA012000018_S_0034,,"Laken, Birgit",08-02-1988,NL-HlmNHA_1478_28679K,,NL-HlmNHA_1478_28679K00_03,2168bc41-b16f-c10d-604d-2bd69610b596,NL-HlmNHA_1478_28679K00_03,"/VeleHanden Fotopersbureau De Boer/Batch_06/NL-HlmNHA_1478_28679K00/"
57726f4f-b255-601d-b94a-c44e0d5d7f39,NL-HlmNHA_1478_29183K00,NL-HlmNHA_1478_29183K,00,K,"Kleinbeeld 1988",1988,"Stand educatieve wegwijzer, Hoofddorp",133355,Onderwijs,NHA012000015_O_0049,Hoofddorp,,02-06-1988,NL-HlmNHA_1478_29183K,,NL-HlmNHA_1478_29183K00_36,d210e10b-fabc-df47-89a3-a6e461ed6427,NL-HlmNHA_1478_29183K00_36,"/VeleHanden Fotopersbureau De Boer/Batch_06/NL-HlmNHA_1478_29183K00/"
af53b82a-2e2d-da46-65be-8b3bb76a5eaf,NL-HlmNHA_1478_13820K00,NL-HlmNHA_1478_13820K,00,K,"Kleinbeeld 1975",1975,"Huldiging Hr. v. Dijk Kruisver. Haarlem",61885,Huldiging,NHA012000008_H_0607,,,13-05-1975,NL-HlmNHA_1478_13820K,,NL-HlmNHA_1478_13820K00_03,82082b8f-65ff-1d68-a2a9-a16cc9867dc5,NL-HlmNHA_1478_13820K00_03,"/VeleHanden Fotopersbureau De Boer/Batch_03/NL-HlmNHA_1478_13820K00/"
6aa6d30d-779a-9f84-415c-b5505e21fb9e,NL-HlmNHA_1478_07493K00,NL-HlmNHA_1478_07493K,00,K,"Kleinbeeld 1969",1969,"Portret van hr. Ritsema",42524,Portretten,NHA012000016_P_0702,,,11-09-1969,NL-HlmNHA_1478_07493K,,NL-HlmNHA_1478_07493K00_31,378ac5b0-f548-9cb8-9f4d-06d45645027b,NL-HlmNHA_1478_07493K00_31,"/VeleHanden Fotopersbureau De Boer/Batch 2/NL-HlmNHA_1478_07493K00/"
b9e7798b-6c6d-3169-fef7-481bb171290e,NL-HlmNHA_1478_12476K00,NL-HlmNHA_1478_12476K,00,K,"Kleinbeeld 1973",1973,"Cavia met jongen",56038,Dieren,NHA012000004_D_0100,,,26-11-1973,NL-HlmNHA_1478_12476K,,NL-HlmNHA_1478_12476K00_04,d89acf25-a774-204c-989b-dbe59ee46777,NL-HlmNHA_1478_12476K00_04,"/VeleHanden Fotopersbureau De Boer/Batch 2/NL-HlmNHA_1478_12476K00/"
ed3350e6-d864-44bd-c155-559a25c6b797,NL-HlmNHA_1478_24038K00,NL-HlmNHA_1478_24038K,00,K,"Kleinbeeld 1984",1984,"Examenstunt Vissering Scholengemeenschap, IJmuiden",106751,Examen,NHA012000005_E_0154,IJmuiden,,13-04-1984,NL-HlmNHA_1478_24038K,,NL-HlmNHA_1478_24038K00_01,3b458fb7-6047-f056-c245-92674560b95d,NL-HlmNHA_1478_24038K00_01,"/VeleHanden Fotopersbureau De Boer/Batch_05/NL-HlmNHA_1478_24038K00/"
0a871754-ed7d-96bb-868b-c71af4984527,NL-HlmNHA_1478_24038K00,NL-HlmNHA_1478_24038K,00,K,"Kleinbeeld 1984",1984,"Demonstratie gehandicapten Grote Markt",106746|106747,"Demonstatie|Gehandicapten,  geestelijke gestoorden",NHA012000004_D_0048|NHA012000007_G_0221,"Haarlem, Grote Markt",,13-04-1984,NL-HlmNHA_1478_24038K,,NL-HlmNHA_1478_24038K00_21,deb2ac85-97b8-53f3-9bce-82dc722a00bf,NL-HlmNHA_1478_24038K00_21,"/VeleHanden Fotopersbureau De Boer/Batch_05/NL-HlmNHA_1478_24038K00/"
