,label,list_of_numbers
24,tram,"['117239', 'LBP55', '18984K_0006', '18984K_0007', '11316K_0013', '09289K_0002', '09289K_0004', '09289K_0005', '09291K_0001', '09293K_0005', '14780B_0001', '14831B_0001', '14834B_0001', '23089K_0003', '30416K_0001', '04617B_0001', '04780B_0001', '04778B_0001', '04007G_0001', '03990G_0001', '04006G_0001', '09002B_0001', '09388B_0001', '03172G_0001', '03173G_0001', '07378G_0001', 'NL-HlmNHA_1478_NN039A00_01_0001', 'NL-HlmNHA_1478_NN039A00_07_0001', 'NL-HlmNHA_1478_NN039A00_09_0001', '13787B_0001', '14827B_0001', '14826B_0001', '14830B_0001', '14835B_0001', '14828B_0001', '14829B_0001', '14832B_0001', '14883B_0001', '41593K_0005', '00512A_0002', '143513', '46489K_0002', '46489K_0003', '42721K_0003', 'NL-HlmNHA_1478_NN005BD03_01_0001', 'NL-HlmNHA_1478_NN007B_01_0001', '16879B_0001', '17589B_0001', '00984K_0010', '00984K_0013', '00984K_0017', '00984K_0018', '00984K_0028', '00984K_0029', '04818A_0001', '19220B_0001', 'NL-HlmNHA_1478_NN078BD01_01_0001', '17587B_0001', '17590B_0001', '03474A_0002', '03474A_0003', '03474A_0005', '03474A_0007', '13995B_0001', '13995B_0002', '01013K_0004', '01013K_0005', '01013K_0006', '01013K_0011', '150248', '152148', '1948', '1949', '716', '48365', '75938', '75941', '3502', '11443', '11743', '11744', '15824', '15825', '15826', '15827', '15828', '15829', '15830', '15831', '15832', '15833', '15834', '15835', '17816', '19814', '19813', '19940', '19932', '19933', '19917', '19918', '19963', '42427', 'L17689', 'L34882', 'L36426', 'L38847', 'L39862', '102669', '105807', '116833', '116835', '117238', '122308', '122309', '123071', '131097', '139732', '68507', '63455', '60541', '60542', '116834', '57131', '22708', 'L43899', 'L49744', 'L49762', 'L51982', 'L51983', 'L52091', 'L62902', 'L70743', 'L70792', 'L70791', 'L87448']"
25,windsurfen,"['21071K_0001', '18004K_0003', '34687K_0003', '28263K_0001', '17093K_0002', '31341K_0004', 'L37854', '79654', '86806', '92539', '92538', '93274', '120516', '121019']"
26,kermis,"['21777K_0001', '13786K_0002', '08696K_0001', '21813K_0002', '21816K_0003', '21817K_0002', '21817K_0004', '20668K_0001', '21822K_0001', 'LBP49981', 'LBP207', 'LBP208', 'LBP417', '00898K_0001', '22043K_0003', '13781K_0002', '00896K_0001', 'LBP48407', 'NL-HlmNHA_1478_17828B01a_01_0001', 'NL-HlmNHA_1478_17828B01b_01_0001', 'NL-HlmNHA_1478_17828B02a_01_0001', 'NL-HlmNHA_1478_17828B02b_01_0001', 'NL-HlmNHA_1478_17828B03a_01_0001', '12899K_0002', '12899K_0003', '01940A_0001', '22166K_0001', '09176G_0001', '13775K_0001', '13775K_0003', '28947K_0002', '28947K_0003', '01482A_0002', '01482A_0003', '01482A_0004', '01483A_0001', '13251K_0002', '23010K_0001', '23010K_0002', '23010K_0003', '01481A_0002', '28981K_0001', '13941K_0004', '19239K_0002', '13958K_0002', '19245K_0001', '19245K_0002', '13904K_0001', '29017K_0001', '09430K_0001', '09433K_0002', '09436K_0002', '09436K_0003', '04021K_0002', '04021K_0003', '04021K_0004', '13959K_0001', '03959K_0002', '13984K_0001', '03959K_0003', '13984K_0002', '44123K_0002', '22456K_0001', '03976K_0003', '27534K_0001', '14029K_0002', '06117K_0001', '18839B_0002', '17887K_0001', '17887K_0002', '17887K_0005', '30517K_0001', '27623K_0002', '18949B_0001', '14541K_0001', '23266K_0001', '32931K_0002', '30507K_0001', '23324K_0001', '32996K_0001', '23323K_0001', '30568K_0002', '23310K_0004', '49257K_0001', '06268K_0001', '27635K_0001', '27639K_0003', '29405K_0001', '06267K_0002', '06268K_0006', '29414K_0001', '08182K_0003', '08173K_0001', '37030K_0003', '17919K_0001', '07741B_0001', '07739B_0001', '07740B_0001', '07742B_0001', '41195K_0003', '29512K_0001', '08188K_0003', '29537K_0001', '09773K_0004', '09784K_0005', '09796K_0003', '30717K_0003', '06421K_0001', '08599B_0001', '09835K_0001', '29591K_0001', '19660K_0001', '06391K_0003', '29686K_0002', '30735K_0003', '14817K_0002', 'L23440', '14806K_0001', '02875G_0001', '14855K_0003', '37343K_0002', '14844K_0001', '27948K_0001', '27949K_0001', '08500K_0001', '27932K_0002', '27938K_0001', '27938K_0002', '15497K_0003', '08550K_0003', '08526K_0001', '27984K_0001', '02737K_0002', '08529K_0001', '24067K_0001', '24067K_0003', '24069K_0002', '24070K_0003', '08620K_0003', '28085K_0002', '53730K_0003', '53730K_0004', '53730K_0005', '53730K_0006', '28097K_0001', '15164K_0002', '16922K_0001', '16922K_0002', '28171K_0003', '30986K_0001', '28163K_0001', '53744K_0006', '53744K_0007', '15819K_0001', '02423K_0002', '08299G_0001', '35218K_0001', '08395G_0001', '05392K_0002', '25114K_0003', '05472K_0003', '18298K_0018', '53184K_0009', '10614K_0002', '05416K_0001', '11760K_0002', '31178K_0003', '31178K_0004', '11781K_0003', '46871K_0001', '10740K_0001', '11837K_0001', '11868K_0001', '07061K_0001', '10903K_0002', '31264K_0003', '07045K_0001', '07045K_0002', '07048K_0002', '10890K_0001', '26241K_0003', '10899K_0005', '32256K_0001', '32259K_0002', '31292K_0001', '10971K_0001', '02289A_0001', '00650B_0001', '07144K_0001', '32306K_0003', '32306K_0004', '32306K_0006', '32306K_0007', '32306K_0008', '32306K_0009', '32306K_0010', '03445K_0001', '00155C_0001', '00193C_0001', '12081K_0004', '00194C_0001', '00293C_0001', '12097K_0002', '00331C_0001', '00357C_0001', '12100K_0001', '16689K_0001', '16689K_0002', '16689K_0004', '16689K_0006', '16689K_0007', '16689K_0008', '16689K_0009', '05266K_0003', '16689K_0011', '16689K_0012', '16689K_0013', '16689K_0014', '16689K_0015', '12121K_0002', '05434K_0001', '47184K_0003', '16695K_0001', '07371K_0001', '07382K_0001', '07387K_0003', '12159K_0004', '07406K_0001', '38052K_0005', '07377K_0001', '07385K_0003', '00290C_0001', '07461K_0003', '07460K_0001', '01077K_0001', '17072K_0001', '17072K_0002', '07419K_0001', '09083B_0001', '01092K_0003', '01093K_0001', '46851K_0001', '03525K_0003', '13512B_0001', '32703K_0006', '45399K_0002', '18237K_0001', '21054B_0001', '18240K_0009', '00337K_0002', '49274K_0003', '01694B_0001', '45823K_0008', '45823K_0009', '36278K_0001', '24627', '149693', '1452', '1453', '8993', '9381', '9382', '9850', '9851', '9852', '9853', '9854', '19206', '22021', '22048', 'L348', 'L697', 'L996', 'L2992', 'L5460', 'L5891', 'L5938', 'L5952', 'L5985', 'L5993', 'L6070', 'L6707', 'L7935', 'L8418', 'L9475', 'L9805', 'L9984', 'L10563', 'L11734', 'L14938', 'L15207', 'L15249', 'L15255', 'L15287', 'L15340', 'L15353', 'L15389', 'L15387', 'L15472', 'L15920', 'L17028', 'L17337', 'L17618', 'L17690', 'L18806', 'L18947', 'L18981', '52116', '52114', 'L19439', 'L21076', 'L23276', 'L23354', 'L23390', 'L23441', 'L23465', 'L24704', 'L24732', 'L24824', 'L25169', 'L25198', 'L25438', 'L26113', 'L26248', 'L26784', '101028', 'L30478', 'L30492', 'L30505', 'L30518', 'L30639', 'L30751', 'L31775', 'L31882', 'L31883', 'L32978', 'L33194', 'L33233', 'L33852', 'L35040', 'L37041', 'L37134', 'L37162', 'L38351', '85640', '91245', '102346', '102347', '107744', '108437', '108913', '112909', '113244', '113311', '113343', '113341', '113395', '113376', '113419', '115080', '115131', '115702', '115914', '118720', '118903', '118898', '118899', '120303', '120304', '120361', '120480', '120506', '120696', '120697', '120698', '120699', '121374', '121597', '121902', '125249', '125316', '125342', '125624', '127730', '127993', 'L48683', 'L43770', '149089', '27299', '36609', '53062', '58640', '71304', '73164', '52042', '52041', '52115', '25406', '31326', '67864', '34002', 'L43725', 'L43804', 'L43955', 'L43875', 'L43874', 'L45001', 'L45420', 'L45564', 'L45856', 'L46377', 'L46543', 'L47016', 'L46985', 'L50174', 'L50204', 'L50305', 'L50316', 'L75000', 'L50505', 'L50512', 'L74999', 'L50345', 'L50477', 'L50540', 'L51936', 'L51953', 'L53602', 'L95740', 'L56737', 'L56823', 'L56896', 'L57183', 'L57187', 'L57212', 'L57267', 'L57333', 'L57393', 'L59165', 'L59382', 'L59468', 'L60500', 'L61089', 'L61227', 'L64421', 'L64519', 'L64832', 'L64846', 'L64858', 'L64962', 'L66152', 'L66708', 'L68672', 'L68754', 'L71718', 'L72092', 'L72134', 'L72145', 'L72143', 'L72200', 'L72247', 'L72913', 'L73536', 'L73562', 'L73814', 'L75201', 'L75382', 'L81245', 'L75449', 'L78697', 'L78794', 'L78843', 'L78842', 'L78936', 'L80315', 'L81195', 'L81573', 'L81642', 'L81848', 'L87446', 'L81849', 'L84643', 'L84740', 'L84815', 'L84999', 'L86341', 'L87950', 'L90360', 'L90502', 'L90532', 'L91977', 'L93065', 'L93127', 'L93126']"
27,kaartspel,"['53487K_0006', '53050K_0007', '07735G_0001', '00411A_0001', 'L23798', '103267', '141529']"
28,stemlokaal,"['18048K_0004', '31170K_0003', '31170K_0004', '31170K_0005', '31170K_0006', '31170K_0007', '16602B_0001', '80934', '71754', '71753', 'L63697']"
29,vuilnisbelt,"['LBP48430', 'LBP48569', '53019K_0001', '00615A_0003', '11117K_0003', '12210K_0002', '12210K_0007', 'L6798', '36653', '37445', '51372', '51648', '54873', '55143', '87627', '93984', '114385', '138430', '138494', '140696', '144606', '145244', '60977', '40220', '75416', '67941', '33132', '153037', '53917', '55423', '46664', '65034', '52007', '32513', '50505', '33301', '51371', '27757', '37511', '74526', '37415']"
30,hardlopen,"['08770K_0002', '01917A_0003', '03958K_0004', '36792K_0001', '09524K_0001', '19399K_0002', '01367G_0001', '20717K_0001', '27676K_0006', '16534B_0001', '08179K_0001', '37177K_0002', '37177K_0003', '37177K_0005', '37177K_0006', '37177K_0007', '37177K_0008', '37177K_0009', '37177K_0011', '37177K_0012', '30687K_0001', '14771K_0001', '19769K_0004', '19769K_0005', '02639K_0003', '14409K_0001', '28485K_0002', '31150K_0001', '25287K_0002', '03323K_0001', '03318K_0002', '05221K_0008', '26421K_0003', '05443K_0004', '38745K_0001', '38745K_0002', '149836', '3130', '3131', '3132', '3133', '7085', '3169', '17831', '17833', 'L17773', '116486', '125987', '139402', '144141', '145683', '148782', '63868', 'L46325', 'L46348', 'L51482', 'L59216', 'L66590', 'L82211']"
31,trein,"['11260K_0001', '39305K_0002', '05996K_0001', '27245K_0002', '11314K_0002', '53479K_0002', '50024K_0001', '03018A_0001', '33842K_0001', '03016A_0001', '22973K_0001', '15657B_0001', '17796K_0001', 'L45770', 'L52264', 'L63210', '51311K_0001', '04780B_0001', '04779B_0001', '04778B_0001', '49098K_0002', '11435K_0001', '16213B_0001', '27614K_0001', '07135B_0001', '01333G_0001', '23413K_0001', '23413K_0002', '23413K_0003', '37037K_0001', '07825B_0001', '19573K_0001', '11495K_0009', '11643K_0002', '02437K_0002', '08631B_0001', '09837K_0001', '09002B_0001', '18043K_0002', '18043K_0003', '18043K_0004', '18043K_0005', '09771B_0001', '09764B_0001', '09773B_0001', '23607K_0003', '02977G_0001', '46704K_0001', '18080K_0011', '10171B_0001', '30811K_0005', '03447G_0001', '03829G_0001', '37427K_0002', '47374K_0002', '47375K_0002', '48874K_0002', '28090K_0003', '11611B_0001', '47635K_0002', '47635K_0003', '47635K_0004', '04790G_0001', '47713K_0001', '29929K_0003', '02904K_0002', '53738K_0001', 'NL-HlmNHA_1478_NN040A00_01_0001', 'NL-HlmNHA_1478_NN040A00_05_0001', '53144K_0001', '49349K_0003', '05289K_0004', '13673B_0001', '13672B_0001', '13662B_0001', '13663B_0001', '13666B_0001', '13667B_0001', '13671B_0001', '14833B_0001', '14094B_0001', '14096B_0001', '14093B_0001', '14095B_0001', '41445K_0001', '24350K_0003', '18289B_0001', 'NL-HlmNHA_1478_18289B03a_01_0001', 'NL-HlmNHA_1478_18289B03b_01_0001', 'NL-HlmNHA_1478_18289B04a_01_0001', 'NL-HlmNHA_1478_18289B04b_01_0001', 'NL-HlmNHA_1478_18289B05a_01_0001', 'NL-HlmNHA_1478_18289B05b_01_0001', 'NL-HlmNHA_1478_18289B06a_01_0001', 'NL-HlmNHA_1478_18289B06b_01_0001', 'NL-HlmNHA_1478_18289B07a_01_0001', 'NL-HlmNHA_1478_18289B07b_01_0001', 'NL-HlmNHA_1478_18289B08a_01_0001', 'NL-HlmNHA_1478_18289B08b_01_0001', '15533B_0001', '09371G_0001', '09345G_0001', '09370G_0001', '15532B_0001', '15536B_0001', '15660B_0001', '15655B_0001', '15656B_0001', '15723B_0001', 'NL-HlmNHA_1478_NN015BD03_01_0001', 'NL-HlmNHA_1478_NN003BD03_01_0001', '16149B_0001', '03195K_0003', '42153K_0005', '53242K_0008', 'NL-HlmNHA_1478_NN005BD06_01_0001', '03402K_0001', '07185K_0002', '06466B_0001', '12127K_0002', '12133K_0004', '47215K_0006', '43101K_0001', '16847K_0001', '16847K_0002', '16847K_0003', 'NL-HlmNHA_1478_NN062BD07_01_0001', '19217B_0001', '19220B_0001', '19216B_0001', '19218B_0001', '19219B_0001', '51107K_0001', '53333K_0004', '26555K_0001', '26555K_0002', '53337K_0001', '51142K_0003', '53340K_0003', '10292B_0001', '47440K_0001', '45367K_0001', '45367K_0002', '47457K_0001', '53410K_0002', 'NL-HlmNHA_1478_NN161BD03_01_0001', '49314K_0002', '49314K_0003', '7589', '7590', '7591', '7592', '7593', '7594', '7613', '7614', '7615', '14313', '14323', '12766', '12770', '16886', '20156', 'L669', 'L3276', 'L5744', 'L14816', 'L14819', 'L15889', 'L17441', 'L18577', '52095', 'L20462', 'L20476', 'L21710', 'L22422', 'L23084', 'L23086', 'L25742', 'L26174', 'L29116', 'L30659', 'L31639', 'L34314', 'L36257', 'L36610', 'L36632', 'L36695', 'L38163', 'L38359', 'L38880', 'L40644', 'L41112', 'L41718', 'L41840', '79225', '79226', '80132', '80894', '82809', '82810', '85587', '85588', '87179', '87180', '94663', '94664', '94662', '100513', '101714', '103222', '103246', '103245', '109696', '109697', '111763', '113711', 'L42869', '117328', '117492', '120414', '120413', '121268', '122051', '125292', '125290', '125293', '125291', '125886', '126519', '129617', '143512', '130363', '132313', '134503', '141385', '141569', '141570', '144106', '144105', '148681', '148682', '23714', '23713', '122052', '35256', '27700', '64335', '78068', '52471', '78070', '52097', '89018', '89017', '43656', '59071', '33974', '33975', '68073', '34200', '31574', '28084', '146953', '146954', '23113', '52098', '71984', 'L45713', 'L45711', 'L46384', 'L52953', 'L46365', 'L46366', 'L46410', 'L45655', 'L45654', 'L48670', 'L49077', 'L49663', 'L49827', 'L52011', 'L52269', 'L52767', 'L58321', 'L60110', 'L62593', 'L64100', 'L64119', 'L67245', 'L67552', 'L67768', 'L67771', 'L68113', 'L69466', 'L70364', 'L71040', 'L73296', 'L76002', 'L76305', 'L77441', 'L78020', 'L78935', 'L78934', 'L81390', 'L82542', 'L83928', 'L84883', 'L85075', 'L86273', 'L89500', 'L88788', 'L93510', 'L93790', 'L94125']"
32,historisch_toneelstuk,[]
33,woonkamer,"['31761K_0003', '17628K_0006', '18876K_0001', '12784K_0002', '11306K_0002', '22715K_0001', '32839K_0002', '00211K_0002', '28738K_0002', '31803K_0009', '20909K_0002', '40548K_0002', '17743K_0002', '49902K_0003', '02903B_0001', '53500K_0005', '46116K_0001', '02883B_0001', '15256B_0001', '00175G_0001', '17809K_0009', '17809K_0010', '00227G_0001', '00188G_0001', '00187G_0001', '45042K_0003', '03354B_0001', '48979K_0004', '18520B_0001', '46279K_0004', '36837K_0001', '45087K_0002', '32897K_0001', '04215A_0001', '35268K_0005', '39271K_0006', '36918K_0003', '45220K_0002', '30515K_0006', '30515K_0007', '06205K_0003', '40794K_0001', '13829K_0001', '06261K_0001', '30546K_0001', '01262G_0001', '11029K_0004', '07676B_0001', '02284K_0002', '17946K_0001', '16663B_0001', '17956K_0001', '16703B_0001', '30702K_0002', '01771G_0001', '53064K_0003', '30763K_0001', '37247K_0005', '16838B_0001', '02365G_0001', '48708K_0004', '23933K_0001', '18081K_0001', '29775K_0001', '18081K_0002', '09158K_0002', '24870K_0002', '08509K_0002', '19886K_0004', '19960K_0003', '33363K_0005', '18101K_0007', '48876K_0001', '18101K_0009', '08411K_0001', '10338K_0004', '40603K_0003', '49060K_0003', '18143K_0003', '40652K_0003', '32121K_0001', '32121K_0002', '17092K_0001', '53773K_0007', '17092B_0001', '31090K_0004', 'NL-HlmNHA_1478_NN073K00_04_0001', '08980G_0001', '08979G_0001', '16301K_0001', '16301K_0002', '08981G_0001', '53804K_0001', '16436K_0002', '16436K_0003', 'NL-HlmNHA_1478_NN043BD04_01_0001', '18342B_0001', '18343B_0001', '18344B_0001', '26141K_0002', '15940B_0001', '25354K_0001', '18401B_0001', '16140B_0001', 'NL-HlmNHA_1478_NN135K00_01_0001', '16138B_0001', 'NL-HlmNHA_1478_NN135K00_13_0001', '16139B_0001', 'NL-HlmNHA_1478_NN135K00_20_0001', '16144B_0001', 'NL-HlmNHA_1478_NN137K00_31_0001', 'NL-HlmNHA_1478_NN137K00_38_0001', '24620K_0005', '18452K_0001', '31301K_0003', '16437K_0001', '16530B_0001', '42546K_0008', '16455K_0005', 'NL-HlmNHA_1478_18500B01a_01_0001', 'NL-HlmNHA_1478_18500B01b_01_0001', '24642K_0002', '24642K_0003', '46892K_0004', '18501K_0003', '11094K_0005', '25529K_0002', '32399K_0001', '05340K_0001', '00586B_0001', '00585B_0001', '03534K_0003', '17486B_0001', '17490B_0001', '17488B_0001', '31553K_0003', '32514K_0002', '07540B_0001', '31621K_0001', '18629K_0002', '17025K_0001', '38174K_0002', '18638K_0002', '18638K_0003', '18638K_0004', '18638K_0005', '31584K_0003', '31587K_0002', '38177K_0004', '31573K_0001', '19244B_0001', '03449A_0001', '19929B_0001', '18757K_0001', '35691K_0001', '19936B_0001', '53377K_0009', 'NL-HlmNHA_1478_13522B12a_01_0001', 'NL-HlmNHA_1478_13522B12b_01_0001', 'NL-HlmNHA_1478_13522B13a_01_0001', 'NL-HlmNHA_1478_13522B13b_01_0001', 'NL-HlmNHA_1478_13522B14a_01_0001', 'NL-HlmNHA_1478_13522B14b_01_0001', 'NL-HlmNHA_1478_13522B15a_01_0001', 'NL-HlmNHA_1478_13522B15b_01_0001', 'NL-HlmNHA_1478_13522B16a_01_0001', 'NL-HlmNHA_1478_13522B16b_01_0001', 'NL-HlmNHA_1478_13522B17a_01_0001', 'NL-HlmNHA_1478_13522B17b_01_0001', 'NL-HlmNHA_1478_13522B18a_01_0001', 'NL-HlmNHA_1478_13522B18b_01_0001', '45390K_0006', '17684B_0001', 'NL-HlmNHA_1478_NN135BD05_01_0001', '47590K_0001', 'NL-HlmNHA_1478_NN179BD04_01_0001', '01498B_0001', '20387K_0001', '20387K_0002', '20031K_0002', '20028K_0002', '53394K_0002', '20028K_0003', '44572K_0002', '01753B_0001', '45758K_0003', 'NL-HlmNHA_1478_NN174BD04_01_0001', '20033K_0004', '00346K_0001', 'L27590', 'L27591', '64384', '77440', 'L68816']"
34,konijn,"['11335K_0007', '20183K_0001', '20195K_0001', '13315K_0002', '03233A_0003', '22461K_0003', '53558K_0003', '23493K_0003', '33188K_0002', '34932K_0004', '34932K_0006', '06659K_0001', '14387K_0001', '18582K_0003', '20612B_0001', '38780K_0004', '38947', '38946', '39060', '43635', 'L2776', '43978', '98792', '102536', '104800', '104799', '118683', '119271', '125659', '130921', '131377', '131378', '131379', '47815', '65261', '59417', '88607', '88605', '48063', '48064', '73783', 'L46786', 'L46788', 'L48943', 'L61598', 'L80327', 'L82761']"
35,windmolen,"['22163K_0002', '39048K_0045', '20185K_0005', '20185K_0006', '21128K_0002', '00019G_0001', '04648B_0001', '30762K_0001', '09690G_0001', '24728K_0002', '17684B_0002', 'NL-HlmNHA_1478_NN140BD06_01_0001', 'NL-HlmNHA_1478_NN173BD03_01_0001', 'NL-HlmNHA_1478_NN174BD06_01_0001', 'NL-HlmNHA_1478_NN182BD03_01_0001', 'L8089', 'L27747', 'L31334', '90657', '90658', '92888', '93313', '96327', '97785', '100161', '100178', '101201', '102242', '102241', '102381', '102382', '104131', '105285', '106263', '106264', '106986', '106985', '107662', '110002', '110001', '111007', '111006', '118926', '116305', '89197', '89198', 'L47197', 'L50092', 'L76219', 'L83752']"
36,vliegtuig,"['L46046', '121343', '121344', '17801B_0001', 'LBP48887', 'LBP49405', '00202K_0001', 'LBP49787', 'LBP108', '38601K_0002', '38601K_0003', '10141K_0001', '10141K_0002', '10141K_0003', '10141K_0004', '02806B_0001', '02808B_0001', '28834K_0001', '48261K_0001', '19146K_0007', '11360K_0002', '20965K_0002', '48786K_0003', '39105K_0006', '32909K_0016', '14093K_0002', '14093K_0003', '39196K_0004', '32890K_0001', '14156K_0003', '45069K_0002', '08123K_0001', '20684K_0002', '39537K_0005', '39537K_0006', '07773B_0001', '39537K_0007', '07771B_0001', '14324K_0003', '37099K_0001', '37099K_0002', '08185K_0001', '33088K_0008', '48492K_0002', '51834K_0001', '34525K_0002', '09807K_0001', '15285K_0006', '27814K_0001', '37187K_0001', '16768B_0001', '39860K_0003', '39860K_0004', '51943K_0001', '22441K_0001', '52035K_0001', '33223K_0002', '33223K_0009', '33223K_0010', '23610K_0001', '27951K_0001', '30769K_0002', '10106B_0001', '30769K_0003', '10099B_0001', '10100B_0001', '41895K_0001', '41895K_0002', '30839K_0001', '10321B_0001', '10319B_0001', '10323B_0001', '10324B_0001', '10326B_0001', '10327B_0001', '04414G_0001', '33355K_0008', '33355K_0009', '04675G_0001', '10299K_0002', '04790G_0001', '30915K_0002', '18129K_0001', '18129K_0002', '20919B_0001', '40969K_0001', '40969K_0002', '40969K_0003', '17024B_0001', '17048B_0001', '00863A_0002', '14094B_0001', '14096B_0001', '14093B_0001', '14095B_0001', '18300K_0004', '00444A_0001', '18327K_0015', '18327K_0016', '04075K_0002', '04075K_0003', '32131K_0001', '03112K_0002', '25348K_0003', '25348K_0004', '00637A_0001', '24570K_0003', '16095K_0001', '46549K_0001', 'NL-HlmNHA_1478_NN001BD05_01_0001', '53256K_0004', '42262K_0003', '00746K_0001', '05184K_0001', 'NL-HlmNHA_1478_NN008BD05_01_0001', 'NL-HlmNHA_1478_NN011BD05_01_0001', '02479A_0001', '01398A_0001', '01398A_0002', '03520A_0002', '03520A_0003', '03520A_0005', '47135K_0001', '47135K_0002', '47135K_0003', '03537K_0006', 'NL-HlmNHA_1478_NN061BD08_01_0001', '11112K_0005', '00146K_0004', 'NL-HlmNHA_1478_NN060BD08_01_0001', '26514K_0001', '08774B_0001', 'NL-HlmNHA_1478_17575B01a_01_0001', 'NL-HlmNHA_1478_17575B01b_01_0001', 'NL-HlmNHA_1478_17575B02a_01_0001', 'NL-HlmNHA_1478_17575B02b_01_0001', '02910A_0001', '11157K_0002', '32680K_0001', '47413K_0001', '35664K_0004', '04431A_0002', '04435A_0001', '04435A_0002', '04436A_0001', '42854K_0001', '04430A_0001', '04429A_0001', '26755K_0006', '17530K_0004', 'NL-HlmNHA_1478_NN189BD04_01_0001', '21287B_0001', '01322B_0001', '36252K_0002', '6412', '6421', '6413', '6422', '6414', '6423', '6424', '6425', '27622', '29505', '29695', '8802', '8803', '9429', '9427', '9430', '9428', '10054', '13469', '13467', '13470', '13468', '13570', '13568', '13571', '13569', '20307', '20317', '20308', '20318', '20309', '20319', '20311', '20321', '20312', '20322', '20313', '20323', '20314', '20324', '20315', '20325', '20316', '20326', '20381', '20385', '20389', '20382', '20386', '20390', '20383', '20387', '20391', '20384', '20388', '20392', '20342', '20343', '22458', '22459', 'L1415', 'L2504', 'L4125', 'L6558', 'L6633', 'L8892', 'L10798', 'L15122', '46944', 'L16625', '47399', '47847', 'L17178', 'L17583', 'L19071', 'L20494', 'L23167', 'L23802', 'L25492', 'L29121', 'L30184', 'L31231', 'L31616', 'L32400', 'L37427', 'L39561', 'L39607', 'L39632', 'L39788', '79473', '85887', '85889', '92794', '92793', '93954', '93953', '95233', '95231', '97593', '100099', '100605', '107944', '107945', '107981', '107982', '110010', '111067', '111068', '113531', '113533', '113558', '113811', '115341', '116221', '116238', '117965', '125777', '129451', '131386', '131387', '133683', '137483', '141637', '141636', '146044', '146420', '147973', '148317', '148523', '148524', '148525', '68228', '68229', '68227', '67592', '67593', '55274', '64971', '73876', '70516', '70517', '88973', '31701', '44780', '68222', '78203', 'L44304', 'L55097', 'L55098', 'L62416', 'L58684', 'L68939', 'L72942', 'L81512', 'L91955', 'L94335', 'L94335']"
37,waterpolo,"['49934K_0001', '22319K_0003', '13288K_0002', '41224K_0002', '01496G_0001', '15285K_0001', '30703K_0001', '19726K_0002', '14890K_0003', '48810K_0001', '40307K_0004', '19954K_0003', '10301K_0004', '00009K_0009', '17192K_0002', '50269K_0002', '02980K_0003', '02203A_0003', '02203A_0004', '12540K_0001', '11523', '3277', '3278', '3279', '457', '4286', '153306', 'L1105', 'L1617', 'L2331', 'L4089', 'L10221', 'L11352', '36699', 'L11952', 'L12985', 'L13352', 'L14424', 'L14425', 'L15503', 'L17308', '49159', '87423', 'L19224', 'L19505', '52524', 'L19653', 'L21121', '55910', 'L21796', 'L22095', 'L22793', 'L23568', 'L26370', 'L26410', 'L27121', 'L27681', 'L28445', 'L28726', 'L29809', 'L30280', 'L33830', 'L34054', 'L35177', 'L35461', 'L35670', 'L37345', 'L37475', 'L40146', 'L40147', 'L40425', 'L40681', 'L63739', 'L40944', 'L41465', 'L41791', 'L41911', 'L41994', '79362', '80148', '80153', '80451', '80493', '80805', '80893', '84218', '84314', '84983', '85454', '85806', '88030', '88376', '88377', 'L42270', 'L42396', '89956', '90367', '90484', '90593', '90606', '90796', '93595', '93621', '93620', '94000', '94581', '95556', '95682', '96124', '97469', '98813', '99003', '100183', '103307', '103363', '99607', '103805', '104266', '105369', '105521', '105752', '105755', '106289', '106407', '106408', '106542', '109662', '109754', '109750', '110394', '112658', '112822', '112861', '113155', '114148', '115624', '115572', '115699', '115707', '115715', '115951', '115950', '122893', '116475', '118022', '118845', '121417', '121723', '122027', '122517', '123062', '124753', '124307', '124305', '124441', '124442', '124634', '124916', '124907', '125103', '128201', '128505', '128898', '129891', '130781', '131876', '132493', '135862', '137218', 'L43111', '139456', '140538', 'L43503', '146709', '147317', '148216', '148582', '88734', '69224', '61435', '36323', '36325', '36322', '61900', '66384', '70684', '76313', '61941', '61940', '73489', '75096', '67935', '58923', '88506', '68858', '60665', '78117', '57935', '77680', '77681', '31087', '67029', '67030', '76294', '63973', '89052', '74909', '89050', '70730', '70317', 'L44107', 'L46766', 'L46863', 'L47381', 'L47769', 'L47973', 'L48717', 'L49455', 'L49706', 'L50630', 'L50631', 'L53729', 'L55602', 'L56493', 'L56620', 'L56881', 'L60952', 'L60953', 'L61356', 'L61620', 'L63119', 'L63519', 'L64081', 'L64954', 'L65419', 'L68365', 'L68764', 'L68767', 'L69442', 'L69551', 'L69897', 'L70679', 'L71285', 'L71544', 'L71660', 'L72986', 'L73374', 'L75087', 'L76065', 'L77124', 'L78246', 'L81608', 'L82465', 'L84349', 'L84836', 'L87475', 'L88111', 'L90122', 'L90123', 'L90572', 'L93473']"
