,predictions,top_1,top_5,title,image_id,scan_id,too_difficult,unusable,annotated_on,annotator_id,annotated_label,checked_on,validator_id,corrected_label,toelichting,gebruiker_id
954,"{'muziek_optreden': 0.11, 'vergaderruimte': 0.12, 'speech': 0.14, 'terras': 0.17, 'uitreiking_huldiging': 0.22}",uitreiking_huldiging,"['muziek_optreden', 'vergaderruimte', 'speech', 'terras', 'uitreiking_huldiging']",NL-HlmNHA_1478_11256B00_01,71093,41101,0,0,2022-07-06 11:58:31,21502,no_description_found,2022-07-06 19:43:31,21510,no_description_found,Ondertekenen van stukken in de Ridderzaal te Den haag,21510.0
984,"{'tentoonstelling': 0.07, 'klaslokaal': 0.07, 'bruiloft': 0.08, 'woonkamer': 0.1, 'theater': 0.15}",theater,"['tentoonstelling', 'klaslokaal', 'bruiloft', 'woonkamer', 'theater']",NL-HlmNHA_1478_15136B02_01,71177,41185,0,0,2022-07-06 11:58:33,24028,kunstwerk,2022-07-06 20:54:55,21510,no_description_found,Vervaardiging van een glas in lood raam,21510.0
985,"{'tentoonstelling': 0.07, 'klaslokaal': 0.07, 'bruiloft': 0.08, 'woonkamer': 0.1, 'theater': 0.15}",theater,"['tentoonstelling', 'klaslokaal', 'bruiloft', 'woonkamer', 'theater']",NL-HlmNHA_1478_15136B02_01,71177,41185,0,0,2022-07-06 12:08:44,2676,woonkamer,2022-07-06 20:54:55,21510,no_description_found,Vervaardiging van een glas in lood raam,21510.0
1038,"{'hardlopen': 0.06, 'schaatsen': 0.07, 'kunstwerk': 0.07, 'sneeuwlandschap': 0.12, 'strand': 0.13}",strand,"['hardlopen', 'schaatsen', 'kunstwerk', 'sneeuwlandschap', 'strand']",NL-HlmNHA_1478_19660B01_01,75552,45560,1,0,2022-07-15 04:21:37,24087,uitreiking_huldiging,2022-07-25 01:18:39,3474,no_description_found,,
1039,"{'hardlopen': 0.06, 'schaatsen': 0.07, 'kunstwerk': 0.07, 'sneeuwlandschap': 0.12, 'strand': 0.13}",strand,"['hardlopen', 'schaatsen', 'kunstwerk', 'sneeuwlandschap', 'strand']",NL-HlmNHA_1478_19660B01_01,75552,45560,1,0,2022-07-15 14:44:49,13336,kunstwerk,2022-07-25 01:18:39,3474,no_description_found,,
1120,"{'dansende_mensen': 0.04, 'tentoonstelling': 0.04, 'fabriek': 0.1, 'kunstwerk': 0.16, 'portret': 0.2}",portret,"['dansende_mensen', 'tentoonstelling', 'fabriek', 'kunstwerk', 'portret']",NL-HlmNHA_1478_16780B03_01,75518,45526,1,0,2022-07-15 03:58:29,24087,tentoonstelling,2022-07-24 22:50:28,3474,no_description_found,,
1121,"{'dansende_mensen': 0.04, 'tentoonstelling': 0.04, 'fabriek': 0.1, 'kunstwerk': 0.16, 'portret': 0.2}",portret,"['dansende_mensen', 'tentoonstelling', 'fabriek', 'kunstwerk', 'portret']",NL-HlmNHA_1478_16780B03_01,75518,45526,1,0,2022-07-15 14:01:01,10357,fabriek,2022-07-24 22:50:28,3474,no_description_found,,
1138,"{'bakkerij': 0.04, 'winkel_binnen': 0.05, 'tentoonstelling': 0.08, 'keuken': 0.27, 'fabriek': 0.38}",fabriek,"['bakkerij', 'winkel_binnen', 'tentoonstelling', 'keuken', 'fabriek']",NL-HlmNHA_1478_21456B02_01,75561,45569,0,0,2022-07-15 04:28:28,24087,keuken,2022-07-25 01:20:32,3474,no_description_found,,
1139,"{'bakkerij': 0.04, 'winkel_binnen': 0.05, 'tentoonstelling': 0.08, 'keuken': 0.27, 'fabriek': 0.38}",fabriek,"['bakkerij', 'winkel_binnen', 'tentoonstelling', 'keuken', 'fabriek']",NL-HlmNHA_1478_21456B02_01,75561,45569,0,0,2022-07-15 14:32:40,16604,no_description_found,2022-07-25 01:20:32,3474,no_description_found,,
1196,"{'sneeuwlandschap': 0.06, 'bloemen': 0.07, 'dieren_overig': 0.09, 'bos_park': 0.34, 'portret': 0.34}",portret,"['sneeuwlandschap', 'bloemen', 'dieren_overig', 'bos_park', 'portret']",NL-HlmNHA_1478_17977B02b_01,75533,45541,0,0,2022-07-15 04:09:10,24087,bloemen,2022-07-24 22:53:16,3474,no_description_found,,
1197,"{'sneeuwlandschap': 0.06, 'bloemen': 0.07, 'dieren_overig': 0.09, 'bos_park': 0.34, 'portret': 0.34}",portret,"['sneeuwlandschap', 'bloemen', 'dieren_overig', 'bos_park', 'portret']",NL-HlmNHA_1478_17977B02b_01,75533,45541,0,0,2022-07-15 14:44:40,13336,bloemen,2022-07-24 22:53:16,3474,no_description_found,,
1212,"{'dieren_overig': 0.01, 'bos_park': 0.01, 'borden_gevelsteen': 0.04, 'plattegrond': 0.07, 'kunstwerk': 0.77}",kunstwerk,"['dieren_overig', 'bos_park', 'borden_gevelsteen', 'plattegrond', 'kunstwerk']",NL-HlmNHA_1478_13016B00_01,75491,45499,1,0,2022-07-15 03:26:46,24087,kunstwerk,2022-07-24 22:13:44,3474,no_description_found,,
1213,"{'dieren_overig': 0.01, 'bos_park': 0.01, 'borden_gevelsteen': 0.04, 'plattegrond': 0.07, 'kunstwerk': 0.77}",kunstwerk,"['dieren_overig', 'bos_park', 'borden_gevelsteen', 'plattegrond', 'kunstwerk']",NL-HlmNHA_1478_13016B00_01,75491,45499,1,0,2022-07-19 13:36:58,18611,no_description_found,2022-07-24 22:13:44,3474,no_description_found,,
1286,"{'kunstwerk': 0.05, 'etalage': 0.07, 'groepsportret': 0.07, 'race': 0.09, 'borden_gevelsteen': 0.29}",borden_gevelsteen,"['kunstwerk', 'etalage', 'groepsportret', 'race', 'borden_gevelsteen']",NL-HlmNHA_1478_18368B06_01,82163,52171,0,0,2022-07-16 11:43:17,13336,etalage,2022-07-25 16:48:14,3474,no_description_found,,
1287,"{'kunstwerk': 0.05, 'etalage': 0.07, 'groepsportret': 0.07, 'race': 0.09, 'borden_gevelsteen': 0.29}",borden_gevelsteen,"['kunstwerk', 'etalage', 'groepsportret', 'race', 'borden_gevelsteen']",NL-HlmNHA_1478_18368B06_01,82163,52171,0,0,2022-07-16 13:04:47,21351,no_description_found,2022-07-25 16:48:14,3474,no_description_found,,
1366,"{'kunstwerk': 0.02, 'woonkamer': 0.03, 'dieren_overig': 0.05, 'muziek_optreden': 0.35000000000000003, 'standbeeld': 0.44}",standbeeld,"['kunstwerk', 'woonkamer', 'dieren_overig', 'muziek_optreden', 'standbeeld']",NL-HlmNHA_1478_14096B00_01,82054,52062,0,0,2022-07-15 22:55:06,22354,winkel_binnen,2022-07-25 13:26:52,3474,no_description_found,,
1367,"{'kunstwerk': 0.02, 'woonkamer': 0.03, 'dieren_overig': 0.05, 'muziek_optreden': 0.35000000000000003, 'standbeeld': 0.44}",standbeeld,"['kunstwerk', 'woonkamer', 'dieren_overig', 'muziek_optreden', 'standbeeld']",NL-HlmNHA_1478_14096B00_01,82054,52062,0,0,2022-07-16 06:20:45,24087,spoorweg,2022-07-25 13:26:52,3474,no_description_found,,
1532,"{'boten': 0.02, 'haven': 0.03, 'ziekenhuis': 0.05, 'cafe': 0.07, 'etende_mensen': 0.71}",etende_mensen,"['boten', 'haven', 'ziekenhuis', 'cafe', 'etende_mensen']",NL-HlmNHA_1478_09764B00_01,81952,51960,0,0,2022-07-15 18:01:08,21351,no_description_found,2022-07-25 10:57:29,3474,no_description_found,,
1533,"{'boten': 0.02, 'haven': 0.03, 'ziekenhuis': 0.05, 'cafe': 0.07, 'etende_mensen': 0.71}",etende_mensen,"['boten', 'haven', 'ziekenhuis', 'cafe', 'etende_mensen']",NL-HlmNHA_1478_09764B00_01,81952,51960,0,0,2022-07-15 19:50:32,13336,cafe,2022-07-25 10:57:29,3474,no_description_found,,
1574,"{'uitreiking_huldiging': 0.05, 'militair': 0.05, 'auto_ongeluk': 0.06, 'kade': 0.17, 'straat': 0.24}",straat,"['uitreiking_huldiging', 'militair', 'auto_ongeluk', 'kade', 'straat']",NL-HlmNHA_1478_10834B03_01,81976,51984,0,0,2022-07-15 18:08:10,21351,no_description_found,2022-07-25 11:18:33,3474,no_description_found,Juliana en Bernard,3474.0
1575,"{'uitreiking_huldiging': 0.05, 'militair': 0.05, 'auto_ongeluk': 0.06, 'kade': 0.17, 'straat': 0.24}",straat,"['uitreiking_huldiging', 'militair', 'auto_ongeluk', 'kade', 'straat']",NL-HlmNHA_1478_10834B03_01,81976,51984,0,0,2022-07-15 19:42:19,4260,straat,2022-07-25 11:18:33,3474,no_description_found,Juliana en Bernard,3474.0
