,predictions,top_1,top_5,title,image_id,scan_id,too_difficult,unusable,annotated_on,annotator_id,annotated_label,checked_on,validator_id,corrected_label,toelichting,gebruiker_id,agreement,in_top_1,in_top_5
4632,"{'aula': 0.03, 'speech': 0.03, 'kerk_binnen': 0.08, 'geestelijken': 0.19, 'vergaderruimte': 0.61}",vergaderruimte,"['aula', 'speech', 'kerk_binnen', 'geestelijken', 'vergaderruimte']",NL-HlmNHA_1478_07498B00_01,55617,25625,0,0,2022-04-19 11:29:46,23849,geestelijken,2022-05-13 16:51:38,21510,no_description_found,Gymlokaal van school. Gesprek door pater en burg. O.P.F.M. Cremers,21510.0,disagree,0,0
4660,"{'bruiloft': 0.02, 'theater': 0.04, 'groepsportret': 0.05, 'tentoonstelling': 0.13, 'kunstwerk': 0.5700000000000001}",kunstwerk,"['bruiloft', 'theater', 'groepsportret', 'tentoonstelling', 'kunstwerk']",NL-HlmNHA_1478_07436B01_01,55614,25622,0,0,2022-04-19 11:29:23,23849,kunstwerk,2022-05-13 16:49:12,21510,no_description_found,Christus van het kruis gehaald. geschilderd door Jan. Mostaert 1474-1556,21510.0,agree,0,0
4694,"{'toren': 0.02, 'militair': 0.02, 'optocht': 0.03, 'kerk_buiten': 0.30000000000000004, 'mensenmassa': 0.51}",mensenmassa,"['toren', 'militair', 'optocht', 'kerk_buiten', 'mensenmassa']",NL-HlmNHA_1478_07157B03_01,55611,25619,0,0,2022-04-19 11:28:30,23849,mensenmassa,2022-05-13 16:41:58,21510,no_description_found,vlag wordt gehesen voor de start van de Jamboree voor scouts,21510.0,agree,0,0
4734,"{'portret': 0.02, 'standbeeld': 0.02, 'keuken': 0.05, 'kunstwerk': 0.4, 'fabriek': 0.42}",fabriek,"['portret', 'standbeeld', 'keuken', 'kunstwerk', 'fabriek']",NL-HlmNHA_1478_04186B00_01,55592,25600,0,0,2022-04-19 11:21:38,23849,kunstwerk,2022-05-13 16:26:29,21510,no_description_found,klok,21510.0,disagree,0,0
5206,"{'markt': 0.05, 'kunstwerk': 0.06, 'fabriek': 0.09, 'portret': 0.13, 'etalage': 0.19}",etalage,"['markt', 'kunstwerk', 'fabriek', 'portret', 'etalage']",NL-HlmNHA_1478_10684B02_01,59349,29357,0,0,2022-04-26 11:57:54,21351,no_description_found,2022-05-19 18:26:42,13212,no_description_found,"Bovenaanzicht van scheepsdek, wel kwartslag naar links draaien, vooraan bedieningsopstelling voor het schip en onderdelen.",9686.0,disagree,0,0
5444,"{'motorfiets': 0.01, 'standbeeld': 0.02, 'tentoonstelling': 0.21, 'kunstwerk': 0.34, 'portret': 0.35000000000000003}",portret,"['motorfiets', 'standbeeld', 'tentoonstelling', 'kunstwerk', 'portret']",NL-HlmNHA_1478_19989B00_01,59547,29555,0,0,2022-04-26 17:15:52,13212,no_description_found,2022-05-20 17:18:16,21510,no_description_found,Raceautomotor,9686.0,agree,0,0
5726,"{'maquette': 0.06, 'schaken_dammen': 0.07, 'bibliotheek_boekwinkel': 0.15, 'borden_gevelsteen': 0.16, 'kunstwerk': 0.16}",kunstwerk,"['maquette', 'schaken_dammen', 'bibliotheek_boekwinkel', 'borden_gevelsteen', 'kunstwerk']",NL-HlmNHA_1478_19844B01_01,60209,30217,0,0,2022-04-27 17:45:36,22354,borden_gevelsteen,2022-05-19 20:55:59,13212,no_description_found,Gebruiksaanwijzing,9686.0,agree,0,0
5868,"{'ziekenhuis': 0.04, 'muziek_optreden': 0.14, 'winkel_binnen': 0.17, 'speech': 0.19, 'tentoonstelling': 0.22}",tentoonstelling,"['ziekenhuis', 'muziek_optreden', 'winkel_binnen', 'speech', 'tentoonstelling']",NL-HlmNHA_1478_13851B02_01,60127,30135,0,0,2022-04-27 15:56:06,13212,tentoonstelling,2022-05-20 18:41:32,21510,no_description_found,beurs,21510.0,agree,0,0
5900,"{'gebouw': 0.01, 'auto': 0.03, 'straat': 0.05, 'borden_gevelsteen': 0.27, 'kunstwerk': 0.54}",kunstwerk,"['gebouw', 'auto', 'straat', 'borden_gevelsteen', 'kunstwerk']",NL-HlmNHA_1478_20026B00_01,60212,30220,0,0,2022-04-27 17:46:24,22354,borden_gevelsteen,2022-05-19 20:56:57,13212,no_description_found,Groot paneel meetinstrumenten,9686.0,disagree,0,0
5960,"{'tram': 0.03, 'kade': 0.05, 'brug': 0.13, 'haven': 0.14, 'waterweg': 0.53}",waterweg,"['tram', 'kade', 'brug', 'haven', 'waterweg']",NL-HlmNHA_1478_17964B02_01,60179,30187,0,0,2022-04-27 16:21:20,13212,markt,2022-05-20 20:27:55,21510,no_description_found,Potjesmarkt aan de Raamgracht of Singel in Haarlem,21510.0,disagree,0,0
5984,"{'auto': 0.05, 'fietsende_mensen': 0.12, 'standbeeld': 0.15, 'portret': 0.15, 'straat': 0.18}",straat,"['auto', 'fietsende_mensen', 'standbeeld', 'portret', 'straat']",NL-HlmNHA_1478_19095B01_01,60200,30208,0,0,2022-04-27 16:32:01,13212,portret,2022-05-20 21:04:21,21510,no_description_found,Brandweer,21510.0,disagree,0,0
6000,"{'auto': 0.04, 'motorfiets': 0.05, 'wielrennen': 0.09, 'kunstwerk': 0.25, 'fietsende_mensen': 0.4}",fietsende_mensen,"['auto', 'motorfiets', 'wielrennen', 'kunstwerk', 'fietsende_mensen']",NL-HlmNHA_1478_12856B00_01,60112,30120,0,0,2022-04-27 15:48:42,13212,no_description_found,2022-05-20 18:25:58,21510,no_description_found,"Fiets op decor papierrol, voor fotografering.",9686.0,agree,0,0
6004,"{'speech': 0.02, 'standbeeld': 0.03, 'portret': 0.08, 'borden_gevelsteen': 0.17, 'kunstwerk': 0.53}",kunstwerk,"['speech', 'standbeeld', 'portret', 'borden_gevelsteen', 'kunstwerk']",NL-HlmNHA_1478_19663B04_01,60207,30215,0,0,2022-04-27 17:44:58,22354,borden_gevelsteen,2022-05-19 20:55:02,13212,no_description_found,Sieraccessoires voor auto,9686.0,disagree,0,0
6014,"{'visserij': 0.05, 'portret': 0.07, 'fabriek': 0.09, 'tentoonstelling': 0.19, 'winkel_binnen': 0.39}",winkel_binnen,"['visserij', 'portret', 'fabriek', 'tentoonstelling', 'winkel_binnen']",NL-HlmNHA_1478_19072B01_01,60199,30207,0,0,2022-04-27 16:31:13,13212,winkel_binnen,2022-05-20 21:03:25,21510,no_description_found,Verzameling glazen,21510.0,agree,0,0
6092,"{'schaken_dammen': 0.07, 'cafe': 0.07, 'fabriek': 0.11, 'markt': 0.18, 'winkel_binnen': 0.39}",winkel_binnen,"['schaken_dammen', 'cafe', 'fabriek', 'markt', 'winkel_binnen']",NL-HlmNHA_1478_18164B07a_01,60184,30192,0,0,2022-04-27 16:23:10,13212,fabriek,2022-05-20 20:31:26,21510,no_description_found,Bollen inpakken bij een bollenbedrijf,21510.0,agree,0,0
6156,"{'keuken': 0.06, 'boten': 0.07, 'ziekenhuis': 0.08, 'tentoonstelling': 0.2, 'fabriek': 0.23}",fabriek,"['keuken', 'boten', 'ziekenhuis', 'tentoonstelling', 'fabriek']",NL-HlmNHA_1478_13262B00_01,60120,30128,0,0,2022-04-27 15:52:49,13212,fabriek,2022-05-20 18:37:17,21510,no_description_found,"Laboratorium met teststand op afbreekkracht bevestigde stoelen, voor bus of tram.",9686.0,agree,0,0
6236,"{'kerk_binnen': 0.02, 'kunstwerk': 0.17, 'gebouw': 0.18, 'portret': 0.22, 'standbeeld': 0.23}",standbeeld,"['kerk_binnen', 'kunstwerk', 'gebouw', 'portret', 'standbeeld']",NL-HlmNHA_1478_12954B01_01,60116,30124,0,0,2022-04-27 15:50:14,13212,no_description_found,2022-05-20 18:33:35,21510,no_description_found,"Klein fornuisje, los voor flessengas, op keukendoek.",9686.0,agree,0,0
6248,"{'groepsportret': 0.06, 'demonstratie': 0.07, 'tentoonstelling': 0.15, 'uitreiking_huldiging': 0.18, 'kunstwerk': 0.18}",kunstwerk,"['groepsportret', 'demonstratie', 'tentoonstelling', 'uitreiking_huldiging', 'kunstwerk']",NL-HlmNHA_1478_18336B01a_01,60191,30199,0,0,2022-04-27 16:27:04,13212,portret,2022-05-20 20:42:18,21510,no_description_found,Controle op de bouw,21510.0,disagree,0,0
6294,"{'groepsportret': 0.06, 'theater': 0.06, 'uitreiking_huldiging': 0.09, 'sinterklaas': 0.14, 'schaken_dammen': 0.19}",schaken_dammen,"['groepsportret', 'theater', 'uitreiking_huldiging', 'sinterklaas', 'schaken_dammen']",NL-HlmNHA_1478_12462B02_01,60104,30112,0,0,2022-04-27 15:45:12,13212,theater,2022-05-20 18:21:11,21510,no_description_found,Poppenkastfiguur,21510.0,disagree,0,0
6741,"{'fabriek': 0.04, 'uitreiking_huldiging': 0.06, 'tentoonstelling': 0.09, 'geestelijken': 0.12, 'winkel_binnen': 0.28}",winkel_binnen,"['fabriek', 'uitreiking_huldiging', 'tentoonstelling', 'geestelijken', 'winkel_binnen']",NL-HlmNHA_1478_09298G00_01,60494,30502,0,0,2022-04-28 11:49:10,21351,garage_showroom,2022-05-20 21:08:54,21510,no_description_found,Opening nieuw bedrijf,21510.0,disagree,0,0
6906,"{'haven': 0.02, 'straat': 0.03, 'strand': 0.07, 'bus_truck': 0.24, 'bouwplaats': 0.46}",bouwplaats,"['haven', 'straat', 'strand', 'bus_truck', 'bouwplaats']",NL-HlmNHA_1478_09397G00_01,60496,30504,0,0,2022-04-28 11:50:00,21351,bus_truck,2022-05-20 21:12:12,21510,no_description_found,Magirus ladderwagen,21510.0,disagree,0,0
6998,"{'speeltuin': 0.07, 'strand': 0.09, 'duinen': 0.1, 'opgraving': 0.14, 'bouwplaats': 0.34}",bouwplaats,"['speeltuin', 'strand', 'duinen', 'opgraving', 'bouwplaats']",NL-HlmNHA_1478_10219G00_01,60530,30538,0,0,2022-04-28 12:02:40,21351,no_description_found,2022-05-21 22:38:29,21510,no_description_found,Boer aan het hooien naar voetbalveld,21510.0,disagree,0,0
7054,"{'portret': 0.02, 'bouwplaats': 0.02, 'garage_showroom': 0.03, 'gymnastiek': 0.08, 'fabriek': 0.67}",fabriek,"['portret', 'bouwplaats', 'garage_showroom', 'gymnastiek', 'fabriek']",NL-HlmNHA_1478_09510G00_01,60502,30510,0,0,2022-04-28 11:50:58,21351,no_description_found,2022-05-20 21:17:33,21510,no_description_found,Verrijdbaarapparaat,21510.0,disagree,0,0
7096,"{'dieren_overig': 0.07, 'kunstwerk': 0.07, 'circus': 0.09, 'paard': 0.11, 'tentoonstelling': 0.11}",tentoonstelling,"['dieren_overig', 'kunstwerk', 'circus', 'paard', 'tentoonstelling']",NL-HlmNHA_1478_08480G00_01,60459,30467,0,0,2022-04-28 11:27:57,9686,no_description_found,2022-05-20 18:05:24,13212,no_description_found,fröbelwerk,9686.0,agree,0,0
7228,"{'standbeeld': 0.03, 'auto': 0.03, 'geestelijken': 0.05, 'kunstwerk': 0.1, 'portret': 0.68}",portret,"['standbeeld', 'auto', 'geestelijken', 'kunstwerk', 'portret']",NL-HlmNHA_1478_05415G00_01,60384,30392,0,0,2022-04-27 22:29:54,21539,no_description_found,2022-05-19 22:28:19,13212,no_description_found,Geëtaleerd kindertruitje,9686.0,agree,0,0
7334,"{'woonkamer': 0.06, 'gymnastiek': 0.07, 'kerk_binnen': 0.07, 'standbeeld': 0.08, 'portret': 0.28}",portret,"['woonkamer', 'gymnastiek', 'kerk_binnen', 'standbeeld', 'portret']",NL-HlmNHA_1478_09506G00_01,60501,30509,0,0,2022-04-28 11:50:49,21351,no_description_found,2022-05-20 21:16:37,21510,no_description_found,Verrijdbaar ondersteunings- of draagmobiel,9686.0,agree,0,0
7761,"{'demonstratie': 0.03, 'fietsende_mensen': 0.04, 'militair': 0.04, 'mensenmassa': 0.11, 'optocht': 0.62}",optocht,"['demonstratie', 'fietsende_mensen', 'militair', 'mensenmassa', 'optocht']",NL-HlmNHA_1478_05529G00_01,60733,30741,0,0,2022-04-28 14:51:33,13945,mensenmassa,2022-05-21 22:43:52,21510,no_description_found,Verkeersbrigadiers of klaar-overs begeleiden hele hordes schoolgaande kinderen de weg over.,9686.0,agree,0,0
7845,"{'sinterklaas': 0.06, 'dieren_overig': 0.1, 'bos_park': 0.13, 'speeltuin': 0.13, 'paard': 0.32}",paard,"['sinterklaas', 'dieren_overig', 'bos_park', 'speeltuin', 'paard']",NL-HlmNHA_1478_06948G00_01,60745,30753,0,0,2022-04-28 14:53:40,13945,dieren_overig,2022-05-21 22:53:03,21510,no_description_found,Minipaardje of ezeltje vermaakt 3 kleuters.,9686.0,agree,0,0
8173,"{'portret': 0.02, 'groepsportret': 0.02, 'uitreiking_huldiging': 0.15, 'konijn': 0.32, 'vogels': 0.37}",vogels,"['portret', 'groepsportret', 'uitreiking_huldiging', 'konijn', 'vogels']",NL-HlmNHA_1478_NN008BD07_01,60762,30770,0,0,2022-04-28 18:45:22,9686,groepsportret,2022-05-21 23:08:31,21510,no_description_found,Portret met kip.,9686.0,agree,0,0
8251,"{'maquette': 0.03, 'brand': 0.04, 'tentoonstelling': 0.04, 'kunstwerk': 0.18, 'standbeeld': 0.24}",standbeeld,"['maquette', 'brand', 'tentoonstelling', 'kunstwerk', 'standbeeld']",NL-HlmNHA_1478_NN002BD08_01,60757,30765,0,0,2022-04-28 17:58:48,9686,no_description_found,2022-05-21 23:04:37,21510,no_description_found,"boorhouders met verschillende lengten en diameter boren, met aandraaisleutel.",9686.0,agree,0,0
9619,"{'brand': 0.06, 'speech': 0.07, 'kunstwerk': 0.1, 'uitreiking_huldiging': 0.17, 'muziek_optreden': 0.19}",muziek_optreden,"['brand', 'speech', 'kunstwerk', 'uitreiking_huldiging', 'muziek_optreden']",NL-HlmNHA_1478_02483K00_23,41692,11700,0,0,2022-03-31 23:31:29,18244,optocht,2022-04-06 10:22:52,12564,no_description_found,bloemencorsowagen nog in de loods,12564.0,disagree,0,0
9627,"{'straat': 0.01, 'groepsportret': 0.02, 'auto_ongeluk': 0.05, 'bus_truck': 0.12, 'auto': 0.76}",auto,"['straat', 'groepsportret', 'auto_ongeluk', 'bus_truck', 'auto']",NL-HlmNHA_1478_02908K00_16,41735,11743,0,0,2022-03-31 23:45:54,18244,bus_truck,2022-04-06 10:29:04,12564,no_description_found,invalidenvervor met busje,12564.0,disagree,0,0
9631,"{'kantoor': 0.04, 'klaslokaal': 0.06, 'mensenmassa': 0.07, 'groepsportret': 0.14, 'uitreiking_huldiging': 0.42}",uitreiking_huldiging,"['kantoor', 'klaslokaal', 'mensenmassa', 'groepsportret', 'uitreiking_huldiging']",NL-HlmNHA_1478_02320K00_22,41688,11696,0,0,2022-03-31 23:30:26,18244,bibliotheek_boekwinkel,2022-04-05 12:17:54,12564,no_description_found,signeren van een boekje door de schrijver,12564.0,disagree,0,0
9836,"{'fabriek': 0.05, 'winkel_binnen': 0.06, 'markt': 0.09, 'optocht': 0.13, 'straat': 0.18}",straat,"['fabriek', 'winkel_binnen', 'markt', 'optocht', 'straat']",NL-HlmNHA_1478_02845K01_25,41727,11735,0,0,2022-03-31 23:43:32,18244,markt,2022-04-06 10:26:26,12564,no_description_found,buitenlandse markt,12564.0,disagree,0,0
9922,"{'uitreiking_huldiging': 0.0, 'groepsportret': 0.02, 'ziekenhuis': 0.05, 'bruiloft': 0.12, 'portret': 0.8}",portret,"['uitreiking_huldiging', 'groepsportret', 'ziekenhuis', 'bruiloft', 'portret']",NL-HlmNHA_1478_02451K00_13,41690,11698,0,0,2022-03-31 23:30:54,18244,portret,2022-04-05 12:18:53,12564,no_description_found,moeder met pasgeboren baby,12564.0,agree,0,0
